name,sex,standard,date
"Adhiban, B. ",M,2701,2019-Apr
Akash G,M,2495,2007-Oct
"Akshayraj, Kore ",M,2512,2000-Jul
"Anand, Viswanathan ",M,2817,2000-Jan
"Ankit, R. Rajpara ",M,2511,2003-Oct
"Anurag, Mhamal ",M,2504,2004-Apr
"Aravindh, Chithambaram VR. ",M,2641,2009-Nov
Arjun Kalyan,M,2537,2012-Aug
"Arun Prasad, S. ",M,2570,2000-Jan
Aryan Chopra,M,2609,2009-Jul
"Ashwin, Jayaram ",M,2515,2002-Oct
"Bakre, Tejas ",M,2530,2000-Jan
"Barua, Dibyendu ",M,2561,2000-Jan
Bharath Subramaniyam H,M,2508,2013-Dec
"Chanda, Sandipan ",M,2656,2000-Jan
"Debashis, Das ",M,2548,2004-Apr
Deepan Chakkravarthy J.,M,2557,2000-Jan
Divya Deshmukh,F,2431,2012-Dec
Erigaisi Arjun,M,2681,2011-Nov
"Gagare, Shardul ",M,2514,2005-Oct
"Ganguly, Surya Shekhar ",M,2676,2000-Jan
"Ghosh, Diptayan ",M,2581,2006-Oct
"Girish, A. Koushik ",M,2506,2006-Jul
"Gomes, Mary Ann ",F,2423,2000-Oct
Gopal G.N.,M,2611,2002-Apr
"Grover, Sahaj ",M,2532,2003-Apr
Gukesh D,M,2675,2013-Aug
"Gupta, Abhijeet ",M,2667,2000-Jan
"Harika, Dronavalli ",F,2543,2001-Oct
"Harikrishna, Pentala ",M,2770,2000-Jan
Harsha Bharathakoti,M,2554,2009-Jul
"Himanshu, Sharma ",M,2514,2000-Jan
"Iniyan, P ",M,2555,2009-Nov
Kannappan Priyadharshan,M,2554,2002-Oct
Karthik Venkataraman,M,2527,2009-Jul
"Karthikeyan, Murali ",M,2637,2008-Apr
"Karthikeyan, P. ",M,2507,2002-Oct
"Kiran, Manisha Mohanty ",F,2316,2003-Apr
"Koneru, Humpy ",F,2623,2000-Jan
"Kunte, Abhijit ",M,2568,2000-Jan
Lalith Babu M R,M,2594,2004-Apr
"Laxman, R.R. ",M,2521,2000-Jan
Meenakshi Subbaraman,F,2357,2000-Jan
"Mendonca, Leon Luke ",M,2562,2012-Aug
"Mitrabha, Guha ",M,2510,2009-Apr
"Nadig, Kruttika ",F,2387,2002-Apr
"Nandhidhaa, P V ",F,2380,2007-Apr
"Narayanan, Srinath ",M,2572,2002-Oct
Narayanan.S.L,M,2662,2008-Apr
"Neelotpal, Das ",M,2514,2000-Jan
"Negi, Parimarjan ",M,2671,2002-Apr
Nihal Sarin,M,2662,2011-Jul
"Panchanathan, Magesh Chandran ",M,2586,2000-Jan
Praggnanandhaa R,M,2642,2011-Nov
"Pratyusha, Bodda ",F,2346,2007-Jul
Prithu Gupta,M,2493,2013-Dec
Priyanka Nutakki,F,2313,2011-Jul
"Puranik, Abhimanyu ",M,2618,2008-Jul
Raja Harshit,M,2494,2009-Jul
Raja Rithvik R,M,2497,2011-Nov
"Ramaswamy, Aarthie ",F,2348,2000-Jan
Ramesh R B,M,2507,2000-Jan
"Roy Chowdhury, Saptarshi ",M,2500,2000-Jan
"Sadhwani, Raunak ",M,2628,2013-Dec
Sankalp Gupta,M,2536,2011-Jul
"Saptarshi, Roy ",M,2500,2000-Jan
"Sasikiran, Krishnan ",M,2720,2000-Jan
"Sengupta, Deep ",M,2596,2000-Jan
"Sethuraman, S.P. ",M,2673,2003-Jul
"Shyam, Sundar M. ",M,2554,2003-Apr
"Srija, Seshadri ",F,2306,2008-Jul
"Sriram, Jha ",M,2511,2000-Jan
"Stany, G.A. ",M,2527,2004-Oct
"Sundararajan, Kidambi ",M,2526,2000-Jan
"Swapnil, S. Dhopade ",M,2545,2003-Apr
Swati Ghate,F,2385,2000-Jan
"Swayams, Mishra ",M,2493,2004-Oct
"Thejkumar, M. S. ",M,2500,2000-Jan
"Thipsay, Praveen M ",M,2494,2000-Jan
"Vaibhav, Suri ",M,2600,2006-Oct
Vantika Agrawal,F,2381,2011-Jul
"Varshini, V ",F,2271,2009-Nov
"Venkatesh, M.R. ",M,2528,2000-Jan
"Vidit, Santosh Gujrathi ",M,2727,2004-Jul
Visakh N R,M,2529,2009-Nov
Vishnu Prasanna. V,M,2543,2005-Apr